gender,age,entry_year,field_of_study,most_used,usage,usage_schedule,device,habits1,habits2,habits3,habits4,study1,study2,study3,study4,mental1,mental2,mental3,mental4,lifestyle1,lifestyle2,lifestyle3,lifestyle4,usagerate1,usagerate2,usagerate3,usagerate4,usagerate5,usagerate6,track_usage,usage_per_day,reduce
Nữ,Trên 23,K17,Luật,Twitter/X,0:10:01,Không có khung giờ cố định,Nokia1280,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Có,10:10:10,"Có, thành công"
Nam,21 - 23,K19,Công nghệ Thông tin,"Facebook, Instagram, YouTube",3:00:00,"Buổi tối, Trước khi đi ngủ","Điện thoại di động, Máy tính xách tay",4,5,2,4,1,4,5,2,2,1,5,1,3,1,2,1,1,1,1,2,2,2,Có,3:00:00,"Có, thành công"
Nam,18 - 20,K19,Công nghệ Thông tin,"Facebook, Instagram, TikTok",8:00:00,Không có khung giờ cố định,"Điện thoại di động, Máy tính bảng, Máy tính xách tay, Máy tính để bàn",5,5,5,5,2,5,4,3,1,1,4,1,3,1,2,2,3,3,2,2,1,1,Không,,"Có, thành công"
Nam,18 - 20,K19,Công nghệ Thông tin,"Facebook, YouTube",3:00:00,Cả ngày,"Điện thoại di động, Máy tính xách tay, Máy tính để bàn",4,2,1,2,2,5,3,2,2,1,5,1,4,1,3,1,2,1,2,2,3,2,Không,3:00:00,Không
Nam,18 - 20,K20,Công nghệ Thông tin,"Facebook, Threads, TikTok",10:30:00,"Buổi chiều, Trước khi đi ngủ","Điện thoại di động, Máy tính xách tay, Máy tính để bàn",4,5,4,3,5,4,3,4,1,2,3,2,4,3,3,3,4,3,3,4,3,4,Có,10:02:13,"Có, thành công"
Nam,18 - 20,K19,Công nghệ Thông tin,"Facebook, YouTube, Twitter/X",7:00:00,Buổi tối,Máy tính xách tay,3,4,1,4,3,3,4,3,1,1,4,2,3,2,3,1,1,3,2,3,4,3,Có,3:00:00,"Có, thành công"
Nam,18 - 20,K19,Công nghệ Thông tin,"Facebook, Instagram, TikTok",1:00:00,Trước khi đi ngủ,"Điện thoại di động, Máy tính xách tay",5,5,5,5,3,5,4,4,1,5,5,5,5,1,4,5,3,5,4,4,3,4,Không,,"Có, thành công"
Nam,18 - 20,K19,Công nghệ Thông tin,"Facebook, YouTube, Twitter/X",2:00:00,"Buổi tối, Trước khi đi ngủ","Điện thoại di động, Máy tính bảng",5,2,1,4,3,4,2,2,1,1,1,3,5,2,3,1,2,2,1,1,1,2,Có,1:00:00,"Có, thành công"
Nữ,18 - 20,K19,Công nghệ Truyền Thông,"Facebook, TikTok",24:00:00,"Buổi sáng, Buổi trưa, Buổi chiều, Buổi tối, Trước khi đi ngủ, Cả ngày, Không có khung giờ cố định","Điện thoại di động, Máy tính xách tay",5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Không,,Không
Nữ,18 - 20,K19,Thiết kế,"Facebook, Threads, TikTok",7:00:00,Không có khung giờ cố định,"Điện thoại di động, Máy tính xách tay",5,5,3,4,3,5,4,5,2,2,3,1,5,3,5,2,3,1,3,4,1,1,Có,7:00:00,Không
Nam,18 - 20,K19,Công nghệ Thông tin,"Facebook, Instagram, TikTok",6:52:00,"Trước khi đi ngủ, Không có khung giờ cố định","Điện thoại di động, Máy tính bảng",4,5,1,4,5,5,5,5,4,4,1,5,5,5,5,5,2,5,5,5,5,2,Có,4:54:00,"Có, thành công"
Nữ,18 - 20,K19,Khối ngành Kinh tế khác,"Facebook, TikTok, zalo",4:00:00,Không có khung giờ cố định,Điện thoại di động,4,5,3,3,5,4,3,4,2,4,5,3,5,5,5,2,4,1,4,4,2,2,Không,,"Có, thành công"
Nữ,18 - 20,K19,Quản trị Kinh doanh,"Facebook, YouTube",3:00:00,Buổi tối,"Điện thoại di động, Máy tính xách tay",5,4,2,4,4,4,2,4,2,2,4,2,2,1,2,2,2,2,2,1,2,4,Không,,"Có, thành công"
Nam,18 - 20,K19,Công nghệ Thông tin,Facebook,2:00:00,"Buổi sáng, Buổi trưa, Buổi chiều, Buổi tối, Trước khi đi ngủ, Cả ngày","Điện thoại di động, Máy tính bảng, Máy tính xách tay, Máy tính để bàn",5,1,5,5,5,5,1,5,5,5,5,5,5,1,1,5,1,1,5,5,5,5,Không,1:00:00,Không
Nữ,18 - 20,K19,Quản trị Kinh doanh,"Facebook, Instagram, TikTok",6:00:00,"Buổi chiều, Buổi tối, Trước khi đi ngủ",Điện thoại di động,4,4,4,4,3,3,3,3,1,1,2,2,4,4,4,4,1,4,2,3,3,3,Có,7:00:00,"Có, nhưng không thành công"
Nữ,18 - 20,K19,Thiết kế,"Facebook, TikTok, Twitter/X",3:00:00,"Buổi sáng, Buổi tối",Điện thoại di động,4,5,1,5,3,5,4,3,3,4,4,1,3,1,3,3,2,2,3,4,2,2,Có,4:00:00,"Có, thành công"
Nữ,18 - 20,K18,Công nghệ Thông tin,"Facebook, Instagram",0:30:00,Không có khung giờ cố định,"Điện thoại di động, Máy tính xách tay",2,4,2,2,2,5,5,1,1,2,2,2,2,1,3,1,2,1,1,1,2,5,Không,,"Có, thành công"
Nữ,21 - 23,K18,Công nghệ Thông tin,YouTube,4:00:00,Trước khi đi ngủ,Điện thoại di động,4,4,2,1,5,4,3,5,3,2,5,4,5,5,5,5,5,5,5,5,5,5,Có,4:00:00,"Có, thành công"
Nam,18 - 20,K19,Công nghệ Thông tin,"Instagram, TikTok, YouTube",8:00:00,Không có khung giờ cố định,Điện thoại di động,3,3,2,3,3,4,5,2,2,2,5,3,3,1,3,1,3,2,3,2,2,3,Có,8:00:00,"Có, thành công"
Nam,21 - 23,K18,Công nghệ Thông tin,"Instagram, TikTok, YouTube",7:00:00,"Buổi tối, Trước khi đi ngủ",Điện thoại di động,5,4,1,4,4,4,5,4,2,4,3,3,4,3,3,4,2,1,2,3,1,2,Không,,"Có, nhưng không thành công"
Nam,18 - 20,K19,Công nghệ Thông tin,"Instagram, TikTok, YouTube",1:30:00,"Buổi tối, Cả ngày","Điện thoại di động, Máy tính bảng",5,5,5,5,1,5,5,1,2,1,5,1,1,1,1,1,3,2,2,2,2,2,Không,,"Có, thành công"
Nữ,18 - 20,K19,Công nghệ Thông tin,"Facebook, TikTok",18:00:00,"Cả ngày, Không có khung giờ cố định","Điện thoại di động, Máy tính bảng, Máy tính xách tay",5,2,2,4,5,3,5,5,1,4,1,1,5,4,1,1,5,2,1,5,3,4,Có,17:00:00,"Có, nhưng không thành công"
Nam,18 - 20,K19,Công nghệ Thông tin,"Facebook, TikTok, YouTube",4:00:00,Không có khung giờ cố định,"Điện thoại di động, Máy tính xách tay",4,3,4,3,2,4,4,2,2,2,3,1,4,2,2,2,3,3,3,2,1,1,Không,,"Có, thành công"
Nam,18 - 20,K19,Công nghệ Thông tin,"Facebook, TikTok, YouTube",4:00:00,"Buổi tối, Trước khi đi ngủ","Điện thoại di động, Máy tính xách tay",4,3,1,4,4,4,3,3,1,1,3,1,1,1,4,1,1,1,1,3,3,4,Có,4:00:00,"Có, nhưng không thành công"
Nam,18 - 20,K19,Công nghệ Thông tin,TikTok,2:00:00,Không có khung giờ cố định,Điện thoại di động,4,4,4,4,3,4,3,3,2,2,3,3,3,3,3,3,2,2,2,3,2,2,Có,2:00:00,Không
Nam,18 - 20,K20,Công nghệ Thông tin,"Instagram, Threads, YouTube",2:00:00,"Buổi trưa, Buổi tối","Điện thoại di động, Máy tính xách tay",3,4,5,5,5,5,3,4,4,5,4,5,4,3,5,5,2,4,2,4,3,3,Có,2:00:00,"Có, thành công"
